County Name,Net Enrollment Rate Both Sexes,Net Enrollment Male,Net Enrollment Female,Adult Literacy Rate,GDP per capita,GNI per capita,Internet Users,population 15-64 female,Population female,population 15-64 male,Population male,population 15-64 total,Population total,
Costa Rica,96.35826874,96.35903931,96.35746002,,10647.44179,14530,53,1630882,2376650,1637638,2380925,3268521,4757575,-1489054
Cote d'Ivoire,75.21148682,79.5920105,70.77889252,43.90842,1569.928275,3130,19.2742298,5973178,11084143,6237450,11447207,12210626,22531350,-10320724
Croatia,98.35447693,97.12081909,99.65828705,,13467.46827,21540,68.57,1410724,2196497,1408375,2041892,2819112,4238389,-1419277
Cuba,93.23931122,92.89295197,93.60787964,,7050.50199,,29.07018437,3969794,5714209,4035521,5725558,8005323,11439767,-3434444
Curacao,,,,,,,,,,,,,,0
Cyprus,97.13529205,96.5196991,97.79261017,,27340.88382,29370,69.33,401400,575633,410117,576676,811526,1152309,-340783
Czech Republic,,,,,19744.55861,30170,74.23171164,3508041,5353716,3606152,5171631,7114159,10525347,-3411188
Denmark,98.39575958,98.10974121,98.69461823,,62548.98502,49540,95.99,1800406,2837979,1833814,2805496,3634215,5643475,-2009260
Djibouti,64.64447784,69.26512146,59.90496826,,1740.915011,,10.71,287892,454190,290441,457974,578330,912164,-333834
Dominica,,,,,7195.39349,10450,57.5,,,,,,72778,-72778
Dominican Republic,85.79667664,86.23358917,85.34409332,91.76376,6268.692122,12650,49.58,3317605,5219011,3262477,5186833,6580083,10405844,-3825761
Ecuador,98.0846405,97.13169861,99.07772064,94.22264,6396.630483,11310,45.59039067,5109352,7951447,5088266,7951665,10197616,15903112,-5705496
"Egypt, Arab Rep.",98.94184113,98.54794312,99.36022186,,3327.754247,10160,33.89460391,28115129,45405158,28802267,46407408,56917392,91812566,-34895174
El Salvador,94.11376953,93.7930603,94.44819641,,3988.771871,7780,24.76171215,2159703,3322780,1822066,2958409,3981742,6281189,-2299447
Equatorial Guinea,,,,,19245.65151,22090,18.86,281309,507814,390013,621610,671315,1129424,-458109
Eritrea,40.68566132,42.71607971,38.56753922,,,,0.99,,,,,,,0
Estonia,95.59181213,95.22187805,95.98204041,,19949.58138,27770,84.24152803,436896,700288,424860,614257,861757,1314545,-452788
Ethiopia,86.48947144,89.32675934,83.59432983,,571.1622759,1500,7.7,26662493,48760607,26249067,48606167,52911554,97366774,-44455220
Faroe Islands,,,,,57543.66906,,93.3,,,,,,48842,-48842
Fiji,,,,,5045.769926,8220,37.4,284511,435004,296330,450802,580843,885806,-304963
Finland,99.50386047,99.14086151,99.88448334,,49914.61864,41890,86.53039275,1725204,2775369,1766792,2686143,3492007,5461512,-1969505
France,99.44226837,99.24085236,99.65260315,,42955.24287,40800,83.75,20885887,33747200,21031896,32584757,41917948,66331957,-24414009
French Polynesia,,,,,,,60.68,92412,134936,97199,140548,189611,275484,-85873
Gabon,,,,,9692.163874,16650,38.07120929,530655,912250,583541,963463,1114175,1875713,-761538
"Gambia, The",71.24638367,68.3746109,74.15888214,,434.4656471,1590,15.56,510662,968409,482185,949443,992846,1917852,-925006
Georgia,,,,99.58619,4429.650075,9130,44,1287587,1949259,1209992,1777741,2497565,3727000,-1229435
Germany,99.84542084,,,,48042.56343,48130,86.19,26386527,41177351,26941045,39805149,53327698,80982500,-27654802
